name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
Evening Run,Run,2024-03-09T03:15:12Z,1,85.1,151.7,3.04,6736.3,2305,True,169.0,5.971,2216,Run,6.0,11,0,0
Evening Ride,Ride,2024-03-07T03:47:29Z,1,,146.2,0.0,0.0,1869,True,169.0,0.0,1869,Ride,0,3,0,0
Evening Run,Run,2024-03-06T03:26:49Z,2,86.8,168.2,3.369,1287.0,382,True,179.0,4.19,382,Run,0.0,7,0,0
Evening Run,Run,2024-03-06T02:04:02Z,10,86.5,164.3,3.716,10309.0,4621,True,188.0,6.594,2774,Run,0.0,15,2,0
Evening Ride,Ride,2024-03-05T03:01:28Z,1,,155.0,0.0,0.0,2701,True,173.0,0.0,2701,Ride,0,6,0,0
Evening Run,Run,2024-03-05T02:23:50Z,2,85.6,162.8,3.225,3270.3,1022,True,176.0,4.125,1014,Run,6.0,6,0,0
Course à pied le soir,Run,2024-03-04T04:25:01Z,1,,,3.095,19312.2,6240,False,,0,6240,Run,0,10,0,0
Afternoon Run,Run,2024-03-02T01:32:12Z,1,84.7,152.8,3.152,11385.8,3979,True,164.0,4.378,3612,Run,12.6,9,1,0
Evening Ride,Ride,2024-03-01T03:27:54Z,1,,134.1,0.0,0.0,782,True,156.0,0.0,782,Ride,0,1,0,0
Evening Run,Run,2024-03-01T02:30:11Z,1,82.9,159.3,3.244,9192.6,3198,True,180.0,4.654,2834,Run,5.9,15,0,0
Stairstepper,Run,2024-02-29T02:06:38Z,1,60.1,124.3,0.056,70.8,1266,True,175.0,0.953,1266,Run,0,2,0,0
Afternoon Run,Run,2024-02-29T01:10:02Z,2,83.5,142.2,3.054,7344.9,2717,True,169.0,3.825,2405,Run,11.1,9,1,0
Evening Run,Run,2024-02-28T03:19:03Z,2,84.8,156.8,2.843,901.2,317,True,166.0,3.511,317,Run,0.0,1,0,0
Evening Run,Run,2024-02-28T02:06:59Z,9,87.4,136.2,3.944,8034.1,3985,True,154.0,6.841,2037,Run,0.0,7,0,0
